"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"220","Purvi Champaran",3,"GEN","Bihar [2000 Onwards]","Radha Mohan Singh","Bharatiya Janta Party",1452963,822671,"56.60%",192163,"23.40%"
"221","Raigarh",2,"ST","Chhattisgarh","Vishnu Deo Sai","Bharatiya Janta Party",1605824,1246186,"77.60%",216750,"17.40%"
"222","Raipur",8,"GEN","Chhattisgarh","Ramesh Bais","Bharatiya Janta Party",1904230,1250845,"65.70%",171646,"13.70%"
"223","Rajgarh",20,"GEN","Madhya Pradesh [2000 Onwards]","Rodmal Nagar","Bharatiya Janta Party",1578748,1010724,"64.00%",228737,"22.60%"
"224","Rajkot",10,"GEN","Gujarat","Kundariya Mohanbhai Kalyanjibhai","Bharatiya Janta Party",1655717,1057069,"63.80%",246428,"23.30%"
"225","Rajnandgaon",6,"GEN","Chhattisgarh","Abhishek Singh","Bharatiya Janta Party",1588095,1178296,"74.20%",235911,"20.00%"
"226","Rajsamand",22,"GEN","Rajasthan","Hariom Singh Rathore","Bharatiya Janta Party",1699401,982119,"57.80%",395705,"40.30%"
"227","Rampur",7,"GEN","Uttar Pradesh [2000 Onwards]","Dr. Nepal Singh","Bharatiya Janta Party",1616984,956389,"59.20%",23435,"2.50%"
"228","Ranchi",8,"GEN","Jharkhand","Ram Tahal Choudhary","Bharatiya Janta Party",1648464,1049783,"63.70%",199303,"19.00%"
"229","Ratlam",24,"ST","Madhya Pradesh [2000 Onwards]","Dileepsingh Bhuria","Bharatiya Janta Party",1702648,1082681,"63.60%",108447,"10.00%"
"230","Raver",4,"GEN","Maharashtra","Khadase Raksha Nikhil","Bharatiya Janta Party",1593370,1009213,"63.30%",318068,"31.50%"
"231","Rewa",10,"GEN","Madhya Pradesh [2000 Onwards]","Janardan Mishra","Bharatiya Janta Party",1544719,830002,"53.70%",168726,"20.30%"
"232","Robertsganj",80,"SC","Uttar Pradesh [2000 Onwards]","Chhotelal","Bharatiya Janta Party",1639561,885873,"54.00%",190486,"21.50%"
"233","Sabarkantha",5,"GEN","Gujarat","Rathod Dipsinh Shankarsinh","Bharatiya Janta Party",1615840,1094002,"67.70%",84455,"7.70%"
"234","Sagar",5,"GEN","Madhya Pradesh [2000 Onwards]","Laxmi Narayan Yadav","Bharatiya Janta Party",1520184,891929,"58.70%",120737,"13.50%"
"235","Saharanpur",1,"GEN","Uttar Pradesh [2000 Onwards]","Raghav Lakhanpal","Bharatiya Janta Party",1608833,1194308,"74.20%",65090,"5.50%"
"236","Salempur",71,"GEN","Uttar Pradesh [2000 Onwards]","Ravindra Kushawaha","Bharatiya Janta Party",1661737,854749,"51.40%",232342,"27.20%"
"237","Sambhal",8,"GEN","Uttar Pradesh [2000 Onwards]","Satyapal Singh","Bharatiya Janta Party",1693245,1057002,"62.40%",5174,"0.50%"
"238","Sangli",44,"GEN","Maharashtra","Sanjaykaka Patil","Bharatiya Janta Party",1649107,1046659,"63.50%",239292,"22.90%"
"239","Sant Kabir Nagar",62,"GEN","Uttar Pradesh [2000 Onwards]","Sharad Tripathi","Bharatiya Janta Party",1904327,1011649,"53.10%",97978,"9.70%"
"240","Saran",20,"GEN","Bihar [2000 Onwards]","Rajiv Pratap Rudy","Bharatiya Janta Party",1538744,863254,"56.10%",40948,"4.70%"
"241","Sarguja",1,"ST","Chhattisgarh","Kamalbhan Singh Marabi","Bharatiya Janta Party",1523072,1187321,"78.00%",147236,"12.40%"
"242","Sasaram",34,"SC","Bihar [2000 Onwards]","Chhedi Paswan","Bharatiya Janta Party",1607747,846788,"52.70%",63327,"7.50%"
"243","Satna",9,"GEN","Madhya Pradesh [2000 Onwards]","Ganesh Singh","Bharatiya Janta Party",1458084,913444,"62.70%",8688,"1.00%"
"244","Secundrabad",8,"GEN","Telangana","Bandaru Dattatreya","Bharatiya Janta Party",1893647,1003769,"53.00%",254735,"25.40%"
"245","Shahdol",12,"ST","Madhya Pradesh [2000 Onwards]","Dalpat Singh Paraste","Bharatiya Janta Party",1561321,968518,"62.00%",241301,"24.90%"
"246","Shahjahanpur",27,"SC","Uttar Pradesh [2000 Onwards]","Krishna Raj","Bharatiya Janta Party",1979294,1129841,"57.10%",235529,"20.80%"
"247","Sheohar",4,"GEN","Bihar [2000 Onwards]","Rama Devi","Bharatiya Janta Party",1489724,842894,"56.60%",136239,"16.20%"
"248","Shimla",4,"SC","Himachal Pradesh","Virender Kashyap","Bharatiya Janta Party",1153363,737757,"64.00%",84187,"11.40%"
"249","Shimoga",14,"GEN","Karnataka","B. S. Yeddyurappa","Bharatiya Janta Party",1562241,1129008,"72.30%",363305,"32.20%"
"250","Shrawasti",58,"GEN","Uttar Pradesh [2000 Onwards]","Daddan Mishra","Bharatiya Janta Party",1788080,979638,"54.80%",85913,"8.80%"
"251","Sidhi",11,"GEN","Madhya Pradesh [2000 Onwards]","Riti Pathak","Bharatiya Janta Party",1736050,989396,"57.00%",108046,"10.90%"
"252","Sikar",5,"GEN","Rajasthan","Sumedhanand Saraswati","Bharatiya Janta Party",1770424,1065750,"60.20%",239196,"22.40%"
"253","Singhbhum",10,"ST","Jharkhand","Laxman Giluwa","Bharatiya Janta Party",1152570,795286,"69.00%",87524,"11.00%"
"254","Sitapur",30,"GEN","Uttar Pradesh [2000 Onwards]","Rajesh Verma","Bharatiya Janta Party",1550263,1026972,"66.30%",51027,"5.00%"
"255","Siwan",18,"GEN","Bihar [2000 Onwards]","Om Prakash Yadav","Bharatiya Janta Party",1563860,884021,"56.50%",113847,"12.90%"
"256","Solapur",42,"SC","Maharashtra","Sharad Bansode","Bharatiya Janta Party",1702755,951201,"55.90%",149674,"15.70%"
"257","Sonipat",6,"GEN","Haryana","Ramesh Chander","Bharatiya Janta Party",1417188,985637,"69.60%",77414,"7.90%"
"258","South Delhi",7,"GEN","Delhi [1977 Onwards]","Ramesh Bidhuri","Bharatiya Janta Party",1752741,1102410,"62.90%",107000,"9.70%"
"259","South Goa",2,"GEN","Goa","Adv. Narendra Keshav Sawaikar","Bharatiya Janta Party",545336,410369,"75.30%",32330,"7.90%"
"260","Sultanpur",38,"GEN","Uttar Pradesh [2000 Onwards]","Feroze Varun Gandhi","Bharatiya Janta Party",1703698,964981,"56.60%",178902,"18.50%"
"261","Sundargarh",2,"ST","Orissa","Jual @ Juel Oram","Bharatiya Janta Party",1410532,1010711,"71.70%",18829,"1.90%"
"262","Surat",24,"GEN","Gujarat","Darshana Vikram Jardosh","Bharatiya Janta Party",1484068,947922,"63.90%",533190,"56.20%"
"263","Surendranagar",9,"GEN","Gujarat","Fatepara Devajibhai Govindbhai","Bharatiya Janta Party",1656657,944677,"57.00%",202907,"21.50%"
"264","Tehri Garhwal",1,"GEN","Uttarakhand","Mala Rajya Laxmi Shah","Bharatiya Janta Party",1352845,776214,"57.40%",192503,"24.80%"
"265","Tezpur",9,"GEN","Assam","Ram Prasad Sarmah","Bharatiya Janta Party",1259568,980688,"77.90%",86020,"8.80%"
"266","Tikamgarh",6,"SC","Madhya Pradesh [2000 Onwards]","Dr. Virendra Kumar","Bharatiya Janta Party",1529003,766321,"50.10%",208731,"27.20%"
"267","Tonk-Sawai Madhopur",12,"GEN","Rajasthan","Sukhbir Singh Jaunapuria","Bharatiya Janta Party",1710775,1043040,"61.00%",135311,"13.00%"
"268","Udaipur",19,"ST","Rajasthan","Arjunlal Meena","Bharatiya Janta Party",1817940,1193202,"65.60%",236762,"19.80%"
"269","Udhampur",5,"GEN","Jammu & Kashmir","Dr. Jitendra Singh","Bharatiya Janta Party",1490244,1041758,"69.90%",60976,"5.90%"
"270","Udupi Chikmagalur",15,"GEN","Karnataka","Shobha Karandlaje","Bharatiya Janta Party",1387295,1034108,"74.50%",181643,"17.60%"
"271","Ujiarpur",22,"GEN","Bihar [2000 Onwards]","Nityanand Rai","Bharatiya Janta Party",1428445,858920,"60.10%",60469,"7.00%"
"272","Ujjain",22,"SC","Madhya Pradesh [2000 Onwards]","Prof. Chintamani Malviya","Bharatiya Janta Party",1525481,1016405,"66.60%",309663,"30.50%"
"273","Unnao",33,"GEN","Uttar Pradesh [2000 Onwards]","Swami Sachchidanand Hari Sakshi","Bharatiya Janta Party",2164392,1201603,"55.50%",310173,"25.80%"
"274","Uttara Kannada",12,"GEN","Karnataka","Anantkumar Hegde","Bharatiya Janta Party",1450599,1001038,"69.00%",140700,"14.10%"
"275","Vadodara",20,"GEN","Gujarat","Narendra Modi","Bharatiya Janta Party",1638321,1161577,"70.90%",570128,"49.10%"
"276","Valmiki Nagar",1,"GEN","Bihar [2000 Onwards]","Satish Chandra Dubey","Bharatiya Janta Party",1456576,900114,"61.80%",117793,"13.10%"
"277","Valsad",26,"ST","Gujarat","Dr. K.C.Patel","Bharatiya Janta Party",1512061,1122203,"74.20%",208004,"18.50%"
"278","Varanasi",77,"GEN","Uttar Pradesh [2000 Onwards]","Narendra Modi","Bharatiya Janta Party",1767486,1030685,"58.30%",371784,"36.10%"
"279","Vidisha",18,"GEN","Madhya Pradesh [2000 Onwards]","Sushma Swaraj","Bharatiya Janta Party",1634370,1073473,"65.70%",410698,"38.30%"
"280","Visakhapatnam",21,"GEN","Andhra Pradesh [2014 Onwards]","Kambhampati Hari Babu","Bharatiya Janta Party",1723037,1163558,"67.50%",90488,"7.80%"
"281","Wardha",8,"GEN","Maharashtra","Ramdas Chandrabhanji Tadas","Bharatiya Janta Party",1564553,1013445,"64.80%",215783,"21.30%"
"282","West Delhi",6,"GEN","Delhi [1977 Onwards]","Parvesh Sahib Singh Verma","Bharatiya Janta Party",2039410,1347971,"66.10%",268586,"19.90%"
