"","PC Name","No","Type","State","Winning Candidate","Party","Electors","Votes","Turnout","Margin","Margin %"
"86","Dhule",2,"GEN","Maharashtra","Dr. Bhamre Subhash Ramrao","Bharatiya Janta Party",1674469,983083,"58.70%",130723,"13.30%"
"87","Dibrugarh",13,"GEN","Assam","Rameswar Teli","Bharatiya Janta Party",1124305,890968,"79.30%",185347,"20.80%"
"88","Dindori",20,"ST","Maharashtra","Chavan Harishchandra Deoram","Bharatiya Janta Party",1530139,970182,"63.40%",247619,"25.50%"
"89","Domariyaganj",60,"GEN","Uttar Pradesh [2000 Onwards]","Jagdambika Pal","Bharatiya Janta Party",1761415,935027,"53.10%",103588,"11.10%"
"90","East Delhi",3,"GEN","Delhi [1977 Onwards]","Maheish Girri","Bharatiya Janta Party",1829578,1196336,"65.40%",190463,"15.90%"
"91","Etah",22,"GEN","Uttar Pradesh [2000 Onwards]","Rajveer Singh (RAJU BHAIYA)","Bharatiya Janta Party",1577457,926281,"58.70%",201001,"21.70%"
"92","Etawah",41,"SC","Uttar Pradesh [2000 Onwards]","Ashok Kumar Doharey","Bharatiya Janta Party",1707237,939604,"55.00%",172946,"18.40%"
"93","Faizabad",54,"GEN","Uttar Pradesh [2000 Onwards]","Lallu Singh","Bharatiya Janta Party",1738701,1022716,"58.80%",282775,"27.60%"
"94","Faridabad",10,"GEN","Haryana","Krishan Pal","Bharatiya Janta Party",1740352,1130726,"65.00%",466873,"41.30%"
"95","Farrukhabad",40,"GEN","Uttar Pradesh [2000 Onwards]","Mukesh Rajput","Bharatiya Janta Party",1613781,970677,"60.20%",150502,"15.50%"
"96","Fatehpur",49,"GEN","Uttar Pradesh [2000 Onwards]","Niranjan Jyoti","Bharatiya Janta Party",1804777,1056688,"58.60%",187206,"17.70%"
"97","Fatehpur Sikri",19,"GEN","Uttar Pradesh [2000 Onwards]","Babulal","Bharatiya Janta Party",1580582,967968,"61.20%",173106,"17.90%"
"98","Gadchiroli-Chimur",12,"ST","Maharashtra","Ashok Mahadeorao Nete","Bharatiya Janta Party",1469767,1027129,"69.90%",236870,"23.10%"
"99","Gandhinagar",6,"GEN","Gujarat","L.K.Advani","Bharatiya Janta Party",1733972,1135495,"65.50%",483121,"42.50%"
"100","Ganganagar",1,"SC","Rajasthan","Nihalchand","Bharatiya Janta Party",1718421,1256806,"73.10%",291741,"23.20%"
"101","Garhwal",2,"GEN","Uttarakhand","(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM)","Bharatiya Janta Party",1269083,682024,"53.70%",184526,"27.10%"
"102","Gauhati",7,"GEN","Assam","Bijoya Chakravarty","Bharatiya Janta Party",1922270,1511729,"78.60%",315784,"20.90%"
